Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA
Date,,,,,,,,,,,,,,
2019-12-09,64.69357299804688,5.282105445861816,0.0,0.0,65.63396484654271,5.336876134356314,64.20640565593054,5.250488270085723,65.44007129762012,5.259201702374131,0.0,0.0,128042400,211880000
2019-12-10,65.07166290283203,5.327167510986328,0.0,0.0,65.45703127843608,5.378950471103247,64.43664570257228,5.259451076685321,65.10074619207552,5.312229789905027,0.0,0.0,90420400,256388000
2019-12-11,65.62669372558594,5.4108171463012695,0.0,0.0,65.70668017666303,5.416294501321187,65.07651505067686,5.335134677715266,65.15164935528578,5.337624298206764,0.0,0.0,78756800,233796000
2019-12-12,65.79391479492188,5.57836389541626,0.0,0.0,66.06052390907038,5.596537694519019,64.79050445184313,5.3729752260537795,64.90199284628233,5.381937478405711,0.0,0.0,137310400,404348000
2019-12-13,66.68828582763672,5.576373100280762,0.0,0.0,66.72463994743697,5.700602450670594,65.66548134338474,5.522349335189402,65.79393749772268,5.581352341042889,0.0,0.0,133587600,454704000
2019-12-16,67.829833984375,5.605251789093018,0.0,0.0,68.0552442684781,5.677698174504892,67.13181285488875,5.595791421672846,67.13665760422714,5.623923704351563,0.0,0.0,128186000,320976000
2019-12-17,67.963134765625,5.683423042297363,0.0,0.0,68.29275520184487,5.706077965042853,67.57291428825198,5.614462046269654,67.75954436738984,5.623922411515062,0.0,0.0,114158400,321196000
2019-12-18,67.80076599121094,5.713796615600586,0.0,0.0,68.32428750385608,5.774293009615607,67.65049736561721,5.7098131282974665,67.81530763907062,5.7182777420375315,0.0,0.0,116028400,343548000
2019-12-19,67.86862182617188,5.8619256019592285,0.0,0.0,68.1497726473614,5.8753694564497865,67.60929087087668,5.743422431200607,67.74259176007921,5.748401671741296,0.0,0.0,98369200,445360000
2019-12-20,67.7280502319336,5.9592671394348145,0.0,0.0,68.50605789230497,5.984660503995179,67.51476289158593,5.909226868961521,68.4042663685893,5.928396420867983,0.0,0.0,275978000,603044000
2019-12-23,68.833251953125,5.945574760437012,0.0,0.0,68.89384460449219,6.02001264610532,67.95344547182322,5.934869821137269,67.99222565628588,5.9878973533596,0.0,0.0,98572000,355060000
2019-12-24,68.89866638183594,5.940595626831055,0.0,0.0,69.04894232023564,5.957773673808667,68.57147209079645,5.895783412949718,69.00046525667942,5.9301395069049425,0.0,0.0,48478800,138864000
2019-12-26,70.26566314697266,5.954785346984863,0.0,0.0,70.28263086453755,5.9829171479773136,69.00291436301626,5.925159204325354,69.03199765223384,5.944079934565465,0.0,0.0,93121200,182852000
2019-12-27,70.239013671875,5.897027492523193,0.0,0.0,71.24970256939069,5.983415352363207,69.83183274194636,5.870637902627142,70.558944715347,5.9699715004669045,0.0,0.0,146266000,254644000
